Отметка времени,Оберіть вашу посаду,Основна мова програмування,Додаткова мова програмування,"Фреймворки, бібліотеки й платформи",Вкажіть вашу спеціалізацію,Яку мову програмування ви використовуєте у роботі?,Оберіть вашу посаду_1,Оберіть вашу посаду_2,В якій області ви працюєте?,Місто,Тип компанії,Кількість технічних спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,"Зарплата за місяць, net, після податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Стать,Вік,Освіта,ЗВО,Знання англійської мови
2019/12/03 11:07:35 AM GMT+2,Technical Lead,JavaScript,JavaScript,Node.js,,,,,Веб-розробка,Київ,Стартап,до 10 спеціалістів,6 років,Менше 3 місяців,6000,0,Чоловік,25,Вища,ВНТУ,Upper-Intermediate
2019/12/04 11:13:45 PM GMT+2,Senior Software Engineer,JavaScript,C,React.js,,,,,Веб-розробка;Телекомунікації,Львів,Продуктова,до 200,8 років,3 роки,6000,500,Чоловік,25,Вища,Львівська політехніка,Upper-Intermediate
2019/12/23 6:55:42 PM GMT+2,Senior Software Engineer,Ruby,JavaScript,jQuery;Ruby on Rails;Vue.js,,,,,Веб-розробка,Віддалено,Аутсорсингова,до 10 спеціалістів,5 років,1 рік,6000,3000,Чоловік,25,Вища,ХАІ,Intermediate
2019/12/24 11:09:15 AM GMT+2,Technical Lead,JavaScript,Java,Angular/Angular.js;Node.js,,,,,Веб-розробка,Київ,Стартап,до 10 спеціалістів,6 років,Півроку,6000,0,Чоловік,25,Вища,ВНТУ,Advanced
2019/12/25 11:44:14 AM GMT+2,Senior Software Engineer,Scala,Java,,,,,,Інше,Київ,Продуктова,до 1000,5 років,1 рік,6000,1500,Чоловік,25,Вища,,Upper-Intermediate
2019/12/03 1:46:26 PM GMT+2,Senior Software Engineer,Java,Java,,,,,,eCommerce,Львів,Аутстафінгова,до 1000,6 років,4 роки,6000,0,Чоловік,26,Вища,Львівська політехніка,Advanced
2019/12/03 11:06:50 AM GMT+2,Designer,,,,,,UI/UX Designer,,Веб-розробка,Львів,Стартап,до 10 спеціалістів,2 роки,1 рік,6000,0,Жінка,27,Вища,Інший виш,Elementary
2019/12/03 1:42:02 PM GMT+2,Team Lead,,,,,,,,Веб-розробка;Фінанси та банки;eCommerce,Київ,Продуктова,до 50,9 років,1 рік,6000,1000,Чоловік,28,Вища,НТУУ «КПІ»,Advanced
2019/12/03 1:45:23 PM GMT+2,Senior Software Engineer,PHP,JavaScript,Magento,,,,,eCommerce,Віддалено,Інша,до 10 спеціалістів,8 років,2 роки,6000,2000,Чоловік,28,Вища,Інший виш,Intermediate
2019/12/10 9:11:37 PM GMT+2,Software Engineer,Python,Python,Django;Flask,,,,,Веб-розробка,Віддалено,Продуктова,до 1000,4 роки,1 рік,6000,2000,Чоловік,28,Дві вищих,,Advanced
2019/12/10 10:30:31 PM GMT+2,Team Lead,,,,,,,,Веб-розробка,Київ,Продуктова,до 50,9 років,4 роки,6000,500,Чоловік,28,Вища,НАУ,Upper-Intermediate
2020/01/04 9:11:19 AM GMT+2,Team Lead,,,,,,,,Веб-розробка,Київ,Аутсорсингова,до 200,10 і більше років,2 роки,6000,800,Чоловік,28,Вища,Інший виш,Upper-Intermediate
2019/12/03 1:28:23 PM GMT+2,Senior Software Engineer,Python,JavaScript,Django;Vue.js;aiohttp,,,,,Веб-розробка,Київ,Аутстафінгова,до 50,8 років,1 рік,6000,0,Чоловік,29,Вища,ГУТ,Upper-Intermediate
2019/12/03 3:18:17 PM GMT+2,Software Engineer,Інша,JavaScript,React.js;ReasonReact,,,,,Веб-розробка,Віддалено,Продуктова,до 10 спеціалістів,5 років,6 років,6000,0,Чоловік,29,Незакінчена вища,НаУКМА,Advanced
2019/12/03 7:30:58 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Gamedev,Віддалено,Стартап,до 10 спеціалістів,10 і більше років,3 роки,6000,1000,Чоловік,29,Вища,НАУ,Advanced
2019/12/03 10:01:18 PM GMT+2,Technical Lead,Python,JavaScript,Django;Vue.js,,,,,Веб-розробка,Київ,Продуктова,до 10 спеціалістів,9 років,1 рік,6000,0,Чоловік,29,Вища,КНУ ім. Шевченка,Upper-Intermediate
2019/12/03 10:06:30 PM GMT+2,System Architect,C#/.NET,C#/.NET,.NET;.NET Core;Node.js,,,,,Веб-розробка;eCommerce;Корпоративні системи,Харків,Аутстафінгова,до 200,10 і більше років,1 рік,6000,1500,Чоловік,32,Вища,НТУ «ХПІ»,Upper-Intermediate
2019/12/03 4:04:03 PM GMT+2,Senior Software Engineer,JavaScript,PHP,,,,,,eCommerce,Дніпро,Аутстафінгова,до 50,10 і більше років,6 років,6000,600,Чоловік,30,Вища,ДНУ ім. Гончара,Advanced
2019/12/11 11:47:19 PM GMT+2,Technical Lead,Java,Java,,,,,,Веб-розробка,Київ,Аутсорсингова,до 1000,8 років,5 років,6000,1000,Чоловік,30,Вища,ДонНТУ,Upper-Intermediate
2019/12/24 1:23:53 PM GMT+2,Team Lead,,,,,,,,Веб-розробка;eCommerce,Вінниця,Аутсорсингова,понад 1000,7 років,Півроку,6000,1400,Чоловік,30,Вища,ВНТУ,Upper-Intermediate
2020/01/02 1:52:35 AM GMT+2,Technical Lead,PHP,Не використовую,Angular/Angular.js;jQuery;Symfony,,,,,Корпоративні системи,Київ,Продуктова,до 200,6 років,2 роки,6000,1000,Чоловік,30,Вища,НАУ,Upper-Intermediate
2019/12/03 1:42:34 PM GMT+2,Senior Software Engineer,Go,Інша,Angular/Angular.js,,,,,Системне програмування,Віддалено,Продуктова,до 50,6 років,Менше 3 місяців,6000,500,Чоловік,31,Вища,Інший виш,Upper-Intermediate
2019/12/04 9:37:04 AM GMT+2,Technical Lead,C#/.NET,C#/.NET,.NET;.NET Core;Angular/Angular.js,,,,,Фінанси та банки,Київ,Аутстафінгова,понад 1000,10 і більше років,Менше 3 місяців,6000,1500,Чоловік,31,Вища,,Advanced
2020/01/02 4:11:37 PM GMT+2,Technical Lead,Python,Go,,,,,,Фінанси та банки;eCommerce,Київ,Продуктова,до 200,10 і більше років,6 років,6000,700,Чоловік,31,Вища,Інший виш,Upper-Intermediate
2020/01/03 8:56:46 AM GMT+2,Senior Software Engineer,Scala,Java,Apache Spark;Hadoop;Play,,,,,Веб-розробка;Фінанси та банки;Мультимедіа,Київ,Продуктова,до 200,8 років,4 роки,6000,400,Чоловік,31,Вища,ОНУ ім. Мечникова,Advanced
2019/12/03 10:07:27 AM GMT+2,Technical Lead,JavaScript,Python,Node.js;React.js,,,,,Інше,Віддалено,Стартап,до 10 спеціалістів,10 і більше років,2 роки,6000,600,Чоловік,32,Вища,КНУ ім. Шевченка,Upper-Intermediate
2019/12/03 11:10:36 AM GMT+2,System Architect,Java,Не використовую,,,,,,eCommerce,Харків,Аутсорсингова,понад 1000,8 років,3 роки,6000,400,Чоловік,32,Дві вищих,ХНУРЕ,Upper-Intermediate
2019/12/03 12:58:48 PM GMT+2,Senior Software Engineer,Scala,Java,Play,,,,,eCommerce,Київ,Аутстафінгова,до 200,7 років,3 місяці,6000,1500,Чоловік,32,Вища,Інший виш,Intermediate
2019/12/03 4:58:55 PM GMT+2,Software Engineer,Java,JavaScript,React.js;Spring;Unity 3D,,,,,Веб-розробка,Інше,Продуктова,до 50,10 і більше років,Півроку,6000,1500,Чоловік,32,Вища,,Upper-Intermediate
2019/12/03 5:18:12 PM GMT+2,Senior Software Engineer,JavaScript,JavaScript,Angular/Angular.js;Node.js;React.js,,,,,Веб-розробка;Фінанси та банки;eCommerce,Київ,Продуктова,до 200,7 років,2 роки,6000,500,Чоловік,32,Вища,ДНУЗТ,Pre-Intermediate
2019/12/03 12:04:59 PM GMT+2,System Architect,C#/.NET,JavaScript,.NET Core,,,,,Фінанси та банки,Київ,Продуктова,до 200,10 і більше років,6 років,6000,1400,Чоловік,30,Вища,КНУ ім. Шевченка,Upper-Intermediate
2019/12/22 5:40:26 PM GMT+2,System Architect,Java,Java,,,,,,Інше,Київ,Аутсорсингова,понад 1000,9 років,2 роки,6000,500,Чоловік,32,Вища,,Upper-Intermediate
2019/12/24 1:45:41 PM GMT+2,Senior Software Engineer,Ruby,Не використовую,jQuery;Ruby on Rails,,,,,Веб-розробка;Фінанси та банки,Віддалено,Продуктова,до 10 спеціалістів,8 років,2 роки,6000,0,Чоловік,32,Вища,ХНУРЕ,Upper-Intermediate
2019/12/03 5:34:36 PM GMT+2,Senior Software Engineer,Objective-C,Swift,,,,,,iOS;Мультимедіа,Віддалено,Продуктова,до 10 спеціалістів,6 років,3 місяці,6000,3000,Чоловік,33,Вища,НАУ,Upper-Intermediate
2019/12/03 9:40:48 PM GMT+2,DevOps,,,,,,,,Інше,Київ,Аутстафінгова,до 1000,10 і більше років,5 років,6000,0,Чоловік,33,Незакінчена вища,,Advanced
2019/12/24 12:30:58 PM GMT+2,Team Lead,,,,,,,,Веб-розробка;Корпоративні системи,Київ,Аутстафінгова,до 1000,10 і більше років,5 років,6000,500,Чоловік,33,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 10:20:28 AM GMT+2,Technical Lead,C,Python,OpenWRT,,,,,Embedded,Київ,Продуктова,до 50,10 і більше років,2 роки,6000,0,Чоловік,34,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 2:20:20 PM GMT+2,Technical Lead,Java,Не використовую,Spring,,,,,eCommerce,Львів,Стартап,до 200,8 років,2 роки,6000,500,Чоловік,34,Кандидат,Львівська політехніка,Intermediate
2019/12/04 4:00:41 PM GMT+2,Senior Software Engineer,Java,SQL,Spring,,,,,eCommerce,Віддалено,Аутсорсингова,до 50,10 і більше років,1 рік,6000,0,Чоловік,34,Вища,Інший виш,Advanced
2019/12/14 9:29:08 PM GMT+2,Team Lead,,,,,,,,Веб-розробка,Київ,Аутстафінгова,до 1000,10 і більше років,Менше 3 місяців,6000,1000,Чоловік,34,Незакінчена вища,ОНПУ,Upper-Intermediate
2019/12/24 10:13:02 AM GMT+2,Senior Software Engineer,Erlang,Erlang,,,,,,Корпоративні системи,Віддалено,Продуктова,до 50,10 і більше років,3 місяці,6000,0,Чоловік,34,Незакінчена вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 11:35:57 AM GMT+2,Senior Software Engineer,PHP,JavaScript,Laravel;Node.js;Vue.js,,,,,Веб-розробка,Київ,Продуктова,до 10 спеціалістів,10 і більше років,5 років,6000,1000,Чоловік,35,Незакінчена вища,Інший виш,Advanced
2019/12/03 11:56:03 AM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Фінанси та банки,Харків,Аутстафінгова,до 200,10 і більше років,3 роки,6000,0,Чоловік,35,Вища,ХНУ ім. Каразіна,Advanced
2019/12/03 9:51:19 PM GMT+2,System Architect,C#/.NET,JavaScript,.NET;Angular/Angular.js;ASP.NET,,,,,Desktop Applications;Веб-розробка;Embedded,Львів,Продуктова,понад 1000,10 і більше років,9 років,6000,-500,Чоловік,35,Вища,ЛНУ ім. Франка,Upper-Intermediate
2019/12/16 5:40:49 PM GMT+2,System Architect,SQL,SQL,,,,,,Інше,Київ,Інша,до 200,10 і більше років,5 років,6000,500,Чоловік,35,Вища,,Pre-Intermediate
2019/12/25 1:10:47 PM GMT+2,Senior Software Engineer,Go,JavaScript,jQuery,,,,,Веб-розробка,Київ,Продуктова,до 50,10 і більше років,7 років,6000,500,Чоловік,35,Вища,НТУУ «КПІ»,Intermediate
2019/12/25 9:24:09 PM GMT+2,Team Lead,,,,,,,,Веб-розробка;Корпоративні системи;Інше,Київ,Аутсорсингова,до 50,10 і більше років,3 місяці,6000,500,Чоловік,35,Вища,Інший виш,Upper-Intermediate
2019/12/27 2:29:15 PM GMT+2,System Architect,PHP,Go,,,,,,Веб-розробка,Київ,Продуктова,до 200,10 і більше років,2 роки,6000,300,Чоловік,35,Технікум / Коледж,,Intermediate
2019/12/03 5:26:38 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Desktop Applications;Корпоративні системи;Інше,Київ,Продуктова,до 50,10 і більше років,10 і більше років,6000,920,Чоловік,36,Вища,КНУ ім. Шевченка,Advanced
2019/12/25 10:31:33 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Інше,Львів,Аутсорсингова,понад 1000,10 і більше років,2 роки,6000,0,Чоловік,36,Вища,ЛНУ ім. Франка,Upper-Intermediate
