"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
16,"Киев",10000,-1800,"Director of Engineering / Program Director",10,1,,,37,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Продуктовая","Hardware, Internet of Things, Machine Learning"
17,"Львов",10000,0,"Director of Engineering / Program Director",10,10,,,41,"мужской","Два высших","Львовская Политехника","False","продвинутый","до 1000 человек","Аутсорсинговая","Manufacturing"
18,"Львов",10000,0,"QA Tech Lead",3,1,,"Automation QA",23,"мужской","Высшее",,"False","ниже среднего","до 10 человек","Продуктовая","Manufacturing, Інша"
19,"Киев",9950,3000,"Director of Engineering / Program Director",10,"0.5",,,35,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Стартап","Інша"
20,"Харьков",9500,0,"Director of Engineering / Program Director",10,9,,,35,"мужской","Высшее","ХНУРЭ","False","продвинутый","до 200 человек","Аутсорсинговая","E-commerce, Fintech, Internet of Things"
21,"Львов",9200,1600,"System Architect",10,3,"C#/.NET",,27,"мужской","Техникум / Колледж","Другой вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Automotive, Cloud Computing, Fintech"
22,"Киев",9000,500,"Director of Engineering / Program Director",10,9,,,38,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Аутсорсинговая","Embedded, Telecom"
23,"Киев",9000,2000,"DevOps",10,"0.5",,,30,"мужской","Высшее",,"False","продвинутый","до 50 человек","Продуктовая","Інша"
24,"Киев",9000,2000,"System Architect",6,4,"Python",,32,"мужской","Кандидат","Другой вуз","False","продвинутый","свыше 1000 человек","Другая","Cloud Computing"
25,"Киев",9000,1000,"Director of Engineering / Program Director",10,4,,,34,"мужской","Среднее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Продуктовая","ERP"
26,"Киев",9000,3000,"Product Manager",3,1,,,20,"мужской","Высшее","НАУ","False","продвинутый","до 10 человек","Продуктовая","Blockchain"
27,"Киев",8700,5700,"DevOps",3,1,,,27,"мужской","Высшее","НТУУ «КПИ»","False","средний","свыше 1000 человек","Аутсорсинговая","Blockchain, Cloud Computing, High Load Systems"
